"player_name","team","position","points","start_percent"
"Bijan Robinson","Atl","RB",28.1,0.997
"Saquon Barkley","Phi","RB",17.4,0.997
"Puka Nacua","LAR","WR",36,0.996
"Amon-Ra St. Brown","Det","WR",26,0.995
"Jahmyr Gibbs","Det","RB",17.7,0.995
"Christian McCaffrey","SF","RB",26.1,0.995
"Trey McBride","Ari","TE",12.2,0.99
"Justin Jefferson","Min","WR",22.6,0.989
"Josh Allen","Buf","QB",24.86,0.988
"Jonathan Taylor","Ind","RB",14.6,0.988
"De'Von Achane","Mia","RB",17.1,0.984
"Lamar Jackson","Bal","QB",10.68,0.982
"Derrick Henry","Bal","RB",7.8,0.981
"Nico Collins","Hou","WR",11.9,0.975
"Brock Bowers","LV","TE",9.6,0.971
"James Cook","Buf","RB",22.5,0.97
"Malik Nabers","NYG","WR",4,0.963
"Ja'Marr Chase","Cin","WR",7.3,0.961
"Bucky Irving","TB","RB",25.5,0.96
"Josh Jacobs","GB","RB",31.7,0.957
"Brandon Aubrey","Dal","K",8,0.954
"Jalen Hurts","Phi","QB",19.4,0.951
"Kyren Williams","LAR","RB",10.4,0.933
"A.J. Brown","Phi","WR",2.7,0.933
"Jaxon Smith-Njigba","Sea","WR",13,0.927
"Cameron Dicker","LAC","K",5,0.911
"Broncos D/ST","Den","D/ST",10,0.904
"Ashton Jeanty","LV","RB",33.5,0.888
"Garrett Wilson","NYJ","WR",20.2,0.883
"Jake Bates","Det","K",13,0.88
"Davante Adams","LAR","WR",15.6,0.876
"Omarion Hampton","LAC","RB",27.5,0.868
"Drake London","Atl","WR",25,0.846
"Tyreek Hill","Mia","WR",12.7,0.844
"Patrick Mahomes","KC","QB",27.3,0.837
"Vikings D/ST","Min","D/ST",4,0.835
"Steelers D/ST","Pit","D/ST",9,0.81
"Alvin Kamara","NO","RB",11.2,0.807
"Travis Kelce","KC","TE",9.8,0.803
"Breece Hall","NYJ","RB",16.1,0.795
"Texans D/ST","Hou","D/ST",12,0.777
"Jake Elliott","Phi","K",7,0.771
"Zay Flowers","Bal","WR",14.4,0.763
"Chris Boswell","Pit","K",5,0.757
"Sam LaPorta","Det","TE",6.9,0.756
"Chase McLaughlin","TB","K",17,0.756
"Rome Odunze","Chi","WR",16.9,0.752
"Seahawks D/ST","Sea","D/ST",12,0.746
"Tyler Warren","Ind","TE",18.3,0.734
"Brian Thomas Jr.","Jax","WR",10.6,0.722
"Bills D/ST","Buf","D/ST",7,0.72
"Emeka Egbuka","TB","WR",20.1,0.717
"Kenneth Walker III","Sea","RB",12,0.712
"T.J. Hockenson","Min","TE",7.9,0.702
"Lions D/ST","Det","D/ST",20,0.695
"Ladd McConkey","LAC","WR",2.1,0.694
"Chase Brown","Cin","RB",10.1,0.688
"Harrison Butker","KC","K",12,0.678
"Packers D/ST","GB","D/ST",-5,0.674
"Chuba Hubbard","Car","RB",9.9,0.672
"Baker Mayfield","TB","QB",18.86,0.654
"Tucker Kraft","GB","TE",10.6,0.65
"Tyler Loop","Bal","K",9,0.648
"Justin Herbert","LAC","QB",12.52,0.641
"J.K. Dobbins","Den","RB",11.5,0.637
"Courtland Sutton","Den","WR",19.1,0.631
"Jake Ferguson","Dal","TE",17,0.63
"DK Metcalf","Pit","WR",23.6,0.625
"Quentin Johnston","LAC","WR",23.8,0.608
"Jakobi Meyers","LV","WR",7,0.599
"Keenan Allen","LAC","WR",8.7,0.598
"Chargers D/ST","LAC","D/ST",8,0.592
"Jordan Mason","Min","RB",10.2,0.59
"George Pickens","Dal","WR",33.4,0.588
"Matt Prater","Buf","K",7,0.583
"D'Andre Swift","Chi","RB",16,0.577
"Bo Nix","Den","QB",25.74,0.575
"David Montgomery","Det","RB",1.2,0.573
"Caleb Williams","Chi","QB",11.78,0.56
"Javonte Williams","Dal","RB",19,0.547
"Juwan Johnson","NO","TE",5.8,0.541
"Patriots D/ST","NE","D/ST",10,0.501
"Tetairoa McMillan","Car","WR",10.2,0.499
"Daniel Jones","Ind","QB",10.38,0.496
"Cam Skattebo","NYG","RB",13,0.492
"Tony Pollard","Ten","RB",10.6,0.492
"David Njoku","Cle","TE",3.1,0.488
"Deebo Samuel","Wsh","WR",20.1,0.488
"Marvin Harrison Jr.","Ari","WR",18.6,0.483
"DJ Moore","Chi","WR",7.8,0.477
"Tee Higgins","Cin","WR",6.2,0.474
"Mark Andrews","Bal","TE",10,0.47
"Kyler Murray","Ari","QB",16.1,0.463
"Jordan Love","GB","QB",26.28,0.459
"Cam Little","Jax","K",8,0.459
"Eagles D/ST","Phi","D/ST",13,0.457
"Hunter Henry","NE","TE",11.9,0.453
"Chris Olave","NO","WR",9,0.443
"Spencer Shrader","Ind","K",10,0.442
"Quinshon Judkins","Cle","RB",21.5,0.421
"Ravens D/ST","Bal","D/ST",-3,0.42
"DeVonta Smith","Phi","WR",4.9,0.393
