"player_name","team","position","proj","points","start_percent"
"Saquon Barkley","Phi","RB",20.9,18.4,0.998
"Bijan Robinson","Atl","RB",19.7,24.4,0.998
"Ja'Marr Chase","Cin","WR",19.8,4.6,0.998
"Jahmyr Gibbs","Det","RB",18.4,15,0.997
"CeeDee Lamb","Dal","WR",19,18,0.997
"Justin Jefferson","Min","WR",20.2,14.8,0.993
"Amon-Ra St. Brown","Det","WR",17.2,8.5,0.992
"Puka Nacua","LAR","WR",16.8,23.1,0.991
"Derrick Henry","Bal","RB",16.1,29.2,0.991
"Trey McBride","Ari","TE",15,12.1,0.99
"Brock Bowers","LV","TE",15.3,15.3,0.988
"Ashton Jeanty","LV","RB",17.5,12,0.986
"Malik Nabers","NYG","WR",19,12.1,0.986
"Jonathan Taylor","Ind","RB",18,12.8,0.982
"Nico Collins","Hou","WR",17.4,5.5,0.981
"Lamar Jackson","Bal","QB",22,29.36,0.975
"Josh Allen","Buf","QB",20.8,38.76,0.973
"Josh Jacobs","GB","RB",15.7,14,0.973
"De'Von Achane","Mia","RB",17.7,16.5,0.97
"Jalen Hurts","Phi","QB",23.4,24.28,0.97
"Steelers D/ST","Pit","D/ST",8.3,1,0.969
"A.J. Brown","Phi","WR",16.6,1.8,0.967
"Bucky Irving","TB","RB",17.3,14.5,0.967
"Brian Thomas Jr.","Jax","WR",16.3,9,0.966
"Broncos D/ST","Den","D/ST",7.8,16,0.965
"Chase Brown","Cin","RB",17.6,13.1,0.96
"Jake Bates","Det","K",8.5,7,0.959
"Jayden Daniels","Wsh","QB",21,20.12,0.957
"Christian McCaffrey","SF","RB",17.7,23.2,0.957
"Brandon Aubrey","Dal","K",8.2,11,0.947
"Chase McLaughlin","TB","K",8.7,5,0.945
"Kyren Williams","LAR","RB",15.7,13.9,0.94
"Sam LaPorta","Det","TE",11.3,13.9,0.939
"Tee Higgins","Cin","WR",15.5,6.3,0.93
"Cameron Dicker","LAC","K",8.4,9,0.929
"Joe Burrow","Cin","QB",20,8.82,0.927
"Drake London","Atl","WR",16,13.5,0.925
"James Cook","Buf","RB",14.6,21.2,0.917
"Ladd McConkey","LAC","WR",15.1,13.4,0.917
"Alvin Kamara","NO","RB",15.7,13.7,0.909
"Travis Kelce","KC","TE",11.8,12.7,0.898
"Mike Evans","TB","WR",16.1,10.1,0.882
"T.J. Hockenson","Min","TE",11.3,4.5,0.881
"Vikings D/ST","Min","D/ST",6.9,4,0.878
"Tyreek Hill","Mia","WR",15,8,0.877
"Jaxon Smith-Njigba","Sea","WR",14.7,19.4,0.875
"Chuba Hubbard","Car","RB",15.4,17.9,0.874
"Davante Adams","LAR","WR",14.5,9.1,0.874
