"player_name","team","position","points","start_percent"
"Saquon Barkley","Phi","RB",9.5,0.998
"Bijan Robinson","Atl","RB",16.1,0.998
"CeeDee Lamb","Dal","WR",0,0.997
"Ja'Marr Chase","Cin","WR",8.9,0.996
"Puka Nacua","LAR","WR",22.8,0.995
"Amon-Ra St. Brown","Det","WR",20.7,0.995
"Christian McCaffrey","SF","RB",24,0.994
"Justin Jefferson","Min","WR",12.5,0.994
"Jahmyr Gibbs","Det","RB",26.9,0.994
"Malik Nabers","NYG","WR",3.3,0.991
"Trey McBride","Ari","TE",15.3,0.988
"Josh Allen","Buf","QB",23.02,0.987
"Derrick Henry","Bal","RB",10.7,0.987
"Jonathan Taylor","Ind","RB",32.8,0.985
"Lamar Jackson","Bal","QB",27.02,0.983
"De'Von Achane","Mia","RB",16.1,0.981
"Brandon Aubrey","Dal","K",8,0.968
"Nico Collins","Hou","WR",22.4,0.968
"Bucky Irving","TB","RB",13.9,0.967
"Brock Bowers","LV","TE",9.8,0.961
"James Cook","Buf","RB",20.8,0.956
"Josh Jacobs","GB","RB",12.4,0.948
"Jalen Hurts","Phi","QB",29.04,0.931
"Chase Brown","Cin","RB",6,0.925
"Davante Adams","LAR","WR",14.6,0.915
"Ashton Jeanty","LV","RB",6.3,0.913
"Jake Bates","Det","K",8,0.888
"Patrick Mahomes","KC","QB",13.16,0.888
"Cameron Dicker","LAC","K",12,0.886
"Drake London","Atl","WR",10.5,0.886
"Kyren Williams","LAR","RB",19.2,0.885
"Sam LaPorta","Det","TE",7.3,0.882
"Alvin Kamara","NO","RB",6.6,0.881
"Travis Kelce","KC","TE",6.6,0.876
"Packers D/ST","GB","D/ST",9,0.872
"A.J. Brown","Phi","WR",22.9,0.855
"Jaxon Smith-Njigba","Sea","WR",20.6,0.854
"Zay Flowers","Bal","WR",3.3,0.851
"Baker Mayfield","TB","QB",17.72,0.828
"Brian Thomas Jr.","Jax","WR",7.5,0.827
"Chuba Hubbard","Car","RB",9.6,0.826
"Mike Evans","TB","WR",13.3,0.816
"Jake Elliott","Phi","K",3,0.814
"Ladd McConkey","LAC","WR",8.1,0.809
"Tyreek Hill","Mia","WR",15.9,0.806
"Chris Boswell","Pit","K",3,0.804
"Garrett Wilson","NYJ","WR",24.4,0.802
"Seahawks D/ST","Sea","D/ST",17,0.784
"DK Metcalf","Pit","WR",12.2,0.779
"Vikings D/ST","Min","D/ST",32,0.778
"Breece Hall","NYJ","RB",9.2,0.761
"Kenneth Walker III","Sea","RB",18,0.758
"Chase McLaughlin","TB","K",20,0.754
"James Conner","Ari","RB",6.7,0.733
"Tyler Warren","Ind","TE",6.8,0.721
"Steelers D/ST","Pit","D/ST",15,0.718
"Harrison Butker","KC","K",12,0.703
"Javonte Williams","Dal","RB",12.2,0.699
"T.J. Hockenson","Min","TE",15.9,0.666
"Rome Odunze","Chi","WR",15.2,0.655
"Tee Higgins","Cin","WR",2.5,0.654
"Tyler Loop","Bal","K",7,0.644
"Texans D/ST","Hou","D/ST",7,0.642
"Marvin Harrison Jr.","Ari","WR",7.4,0.622
"D'Andre Swift","Chi","RB",10.8,0.615
"Jaylen Warren","Pit","RB",13.1,0.613
"Broncos D/ST","Den","D/ST",8,0.612
"Tucker Kraft","GB","TE",5.9,0.608
"Terry McLaurin","Wsh","WR",10.4,0.605
"Juwan Johnson","NO","TE",11.1,0.577
"Justin Herbert","LAC","QB",14.6,0.574
"Bills D/ST","Buf","D/ST",4,0.574
"David Njoku","Cle","TE",9,0.553
"Kyler Murray","Ari","QB",14.06,0.546
"Daniel Jones","Ind","QB",15.82,0.542
"Omarion Hampton","LAC","RB",24.9,0.54
"Tetairoa McMillan","Car","WR",7.8,0.535
"Ravens D/ST","Bal","D/ST",-6,0.533
"Jakobi Meyers","LV","WR",9.3,0.531
"Cam Little","Jax","K",4,0.526
"Matt Prater","Buf","K",7,0.524
"Tony Pollard","Ten","RB",13.9,0.523
"David Montgomery","Det","RB",29.4,0.519
"Dak Prescott","Dal","QB",12.04,0.518
"Falcons D/ST","Atl","D/ST",5,0.513
"Jordan Mason","Min","RB",23.6,0.507
"Jake Ferguson","Dal","TE",21.2,0.505
"Buccaneers D/ST","TB","D/ST",16,0.494
"Deebo Samuel","Wsh","WR",4.9,0.493
"DJ Moore","Chi","WR",12.8,0.484
"Travis Etienne Jr.","Jax","RB",11.6,0.482
"Bo Nix","Den","QB",13.42,0.479
"Eagles D/ST","Phi","D/ST",12,0.464
"George Pickens","Dal","WR",17.8,0.454
"Colts D/ST","Ind","D/ST",16,0.44
"Courtland Sutton","Den","WR",23.8,0.424
"Keenan Allen","LAC","WR",19.5,0.424
"Patriots D/ST","NE","D/ST",4,0.415
"Jameson Williams","Det","WR",6.3,0.405
"Caleb Williams","Chi","QB",29.12,0.398
"Zach Ertz","Wsh","TE",6.8,0.391
"Emeka Egbuka","TB","WR",14.5,0.382
"Mark Andrews","Bal","TE",27.1,0.38
"Drake Maye","NE","QB",19.22,0.362
"Lions D/ST","Det","D/ST",8,0.361
"Ka'imi Fairbairn","Hou","K",3,0.338
"Cairo Santos","Chi","K",7,0.33
"Jared Goff","Det","QB",12.68,0.323
"DeVonta Smith","Phi","WR",20,0.321
"Jordan Love","GB","QB",11.12,0.316
"Quentin Johnston","LAC","WR",14.9,0.302
"Kyle Pitts Sr.","Atl","TE",7.9,0.299
"Calvin Ridley","Ten","WR",3.7,0.282
"Spencer Shrader","Ind","K",10,0.267
"Keon Coleman","Buf","WR",5,0.266
"Dalton Kincaid","Buf","TE",17.6,0.265
"Jerry Jeudy","Cle","WR",2.7,0.263
