"player_name","team","position","points","start_percent"
"Saquon Barkley","Phi","RB",17.4,0.998
"Ja'Marr Chase","Cin","WR",36.5,0.997
"CeeDee Lamb","Dal","WR",20.2,0.997
"Bijan Robinson","Atl","RB",19.8,0.997
"Jahmyr Gibbs","Det","RB",19.4,0.996
"Justin Jefferson","Min","WR",11.1,0.996
"Puka Nacua","LAR","WR",27.6,0.995
"Derrick Henry","Bal","RB",2.3,0.994
"Christian McCaffrey","SF","RB",22.7,0.991
"Trey McBride","Ari","TE",13.8,0.991
"Amon-Ra St. Brown","Det","WR",39.2,0.988
"Josh Allen","Buf","QB",11.82,0.985
"Lamar Jackson","Bal","QB",26.3,0.982
"Josh Jacobs","GB","RB",14.4,0.979
"Malik Nabers","NYG","WR",37.7,0.977
"De'Von Achane","Mia","RB",26.2,0.976
"Ashton Jeanty","LV","RB",7.4,0.976
"Nico Collins","Hou","WR",14.2,0.964
"Chase Brown","Cin","RB",8.5,0.959
"Jonathan Taylor","Ind","RB",29.5,0.955
"Kyren Williams","LAR","RB",10,0.955
"Brian Thomas Jr.","Jax","WR",8.9,0.954
"Jalen Hurts","Phi","QB",11.54,0.953
"Broncos D/ST","Den","D/ST",-5,0.952
"Brandon Aubrey","Dal","K",23,0.951
"Bucky Irving","TB","RB",18.1,0.95
"Sam LaPorta","Det","TE",5.6,0.944
"Jayden Daniels","Wsh","QB",19.7,0.942
"Jake Bates","Det","K",9,0.941
"A.J. Brown","Phi","WR",7.7,0.94
"Cameron Dicker","LAC","K",8,0.927
"James Cook","Buf","RB",26.5,0.921
"Steelers D/ST","Pit","D/ST",4,0.919
"Travis Kelce","KC","TE",10.1,0.916
"Joe Burrow","Cin","QB",7.04,0.904
"Brock Bowers","LV","TE",8.8,0.903
"Ladd McConkey","LAC","WR",9.8,0.895
"Alvin Kamara","NO","RB",16,0.882
"Jaxon Smith-Njigba","Sea","WR",18.3,0.877
"Chase McLaughlin","TB","K",1,0.874
"Chuba Hubbard","Car","RB",18.7,0.871
"James Conner","Ari","RB",12.2,0.87
"Ravens D/ST","Bal","D/ST",15,0.866
"Tee Higgins","Cin","WR",14.6,0.866
"Davante Adams","LAR","WR",22.6,0.863
"Drake London","Atl","WR",5.9,0.863
"T.J. Hockenson","Min","TE",2.2,0.858
"Garrett Wilson","NYJ","WR",9,0.837
"Patrick Mahomes","KC","QB",22.08,0.836
"Omarion Hampton","LAC","RB",3.5,0.836
"Jake Elliott","Phi","K",12,0.822
"Mike Evans","TB","WR",10.6,0.821
"DK Metcalf","Pit","WR",11,0.808
"Marvin Harrison Jr.","Ari","WR",4.7,0.808
"Breece Hall","NYJ","RB",5.8,0.801
"Chris Boswell","Pit","K",12,0.8
"Vikings D/ST","Min","D/ST",5,0.788
"Zay Flowers","Bal","WR",14.9,0.782
"Tyreek Hill","Mia","WR",16.9,0.78
"Harrison Butker","KC","K",6,0.745
"Terry McLaurin","Wsh","WR",9.8,0.744
"Baker Mayfield","TB","QB",19.9,0.74
"David Njoku","Cle","TE",8,0.72
"Texans D/ST","Hou","D/ST",5,0.709
"Tyler Warren","Ind","TE",11.9,0.697
"Kyler Murray","Ari","QB",14,0.633
"Rams D/ST","LAR","D/ST",9,0.616
"D'Andre Swift","Chi","RB",13.9,0.614
"Courtland Sutton","Den","WR",1.6,0.612
"Mark Andrews","Bal","TE",1.4,0.607
"Emeka Egbuka","TB","WR",12.9,0.606
"TreVeyon Henderson","NE","RB",6,0.589
"Tyler Loop","Bal","K",12,0.583
"Lions D/ST","Det","D/ST",8,0.579
"Seahawks D/ST","Sea","D/ST",16,0.575
"DJ Moore","Chi","WR",9.6,0.546
"Cam Little","Jax","K",10,0.54
"Bills D/ST","Buf","D/ST",12,0.539
"David Montgomery","Det","RB",13.1,0.524
"Eagles D/ST","Phi","D/ST",7,0.512
"Tony Pollard","Ten","RB",9.2,0.505
"Bo Nix","Den","QB",20.24,0.492
"Cardinals D/ST","Ari","D/ST",12,0.489
"Justin Herbert","LAC","QB",18.78,0.486
"Kenneth Walker III","Sea","RB",18.8,0.47
"Tucker Kraft","GB","TE",24.4,0.469
"49ers D/ST","SF","D/ST",5,0.468
"Patriots D/ST","NE","D/ST",12,0.455
"Aaron Jones Sr.","Min","RB",2.3,0.444
"Travis Etienne Jr.","Jax","RB",16.9,0.438
"Jakobi Meyers","LV","WR",12.8,0.436
"Tetairoa McMillan","Car","WR",16,0.433
"Javonte Williams","Dal","RB",25,0.421
"Jerry Jeudy","Cle","WR",9.1,0.41
"Deebo Samuel","Wsh","WR",17.4,0.398
"Jaylen Warren","Pit","RB",17.4,0.394
"Evan Engram","Den","TE",2.2,0.394
"Ka'imi Fairbairn","Hou","K",9,0.372
"DeVonta Smith","Phi","WR",9.3,0.367
"Cairo Santos","Chi","K",3,0.364
"Travis Hunter","Jax","WR",5.2,0.356
"Justin Fields","NYJ","QB",3.98,0.335
"Matt Prater","Buf","K",14,0.333
