player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Bijan Robinson,Atl,RB,FA,,Wsh,W 34-27,--,28.1,3rd,99.7,99.9,0,88.4,22.1,--
Saquon Barkley,Phi,RB,FA,,@TB,W 31-25,--,17.4,18th,99.7,99.9,0,62.7,15.7,--
Puka Nacua,LAR,WR,FA,,Ind,W 27-20,--,36,14th,99.6,99.9,0,109.5,27.4,--
Amon-Ra St. Brown,Det,WR,FA,,Cle,W 34-10,--,26,9th,99.5,99.9,0,94.4,23.6,--
Jahmyr Gibbs,Det,RB,FA,,Cle,W 34-10,--,17.7,2nd,99.5,99.9,0,79,19.8,--
Christian McCaffrey,SF,RB,FA,,Jax,L 21-26,--,26.1,4th,99.5,99.9,0,96,24,--
Trey McBride,Ari,TE,FA,,Sea,L 20-23,--,12.2,32nd,99,99.9,0,53.4,13.4,--
Justin Jefferson,Min,WR,FA,,@Pit,L 21-24,--,22.6,15th,98.9,99.9,0,61,15.3,--
Josh Allen,Buf,QB,FA,,NO,W 31-19,--,24.86,25th,98.8,99.9,0,98.46,24.6,--
Jonathan Taylor,Ind,RB,FA,,@LAR,L 20-27,--,14.6,1st,98.8,99.9,0,89.7,22.4,--
De'Von Achane,Mia,RB,FA,,NYJ,W 27-21,--,17.1,20th,98.4,99.8,0,75.9,19,--
Lamar Jackson,Bal,QB,FA,,@KC,L 20-37,--,10.68,14th,98.2,99.9,0,93.36,23.3,--
Derrick Henry,Bal,RB,FA,,@KC,L 20-37,--,7.8,16th,98.1,99.9,0,50,12.5,--
Nico Collins,Hou,WR,FA,,Ten,W 26-0,--,11.9,28th,97.5,99.9,0,54,13.5,--
Brock Bowers,LV,TE,FA,,Chi,L 24-25,--,9.6,24th,97.1,99.8,0,43.5,10.9,--
James Cook,Buf,RB,FA,,NO,W 31-19,--,22.5,26th,97,99.7,0.1,91,22.8,--
Malik Nabers,NYG,WR,FA,,LAC,W 21-18,--,4,7th,96.3,99.9,0,57.1,14.3,--
