player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Saquon Barkley,Phi,RB,FA,,Dal,W 24-20,20.9,18.4,--,99.8,99.9,0,18.4,18.4,--
Bijan Robinson,Atl,RB,FA,,TB,L 20-23,19.7,24.4,--,99.8,99.9,0,24.4,24.4,--
Ja'Marr Chase,Cin,WR,FA,,@Cle,W 17-16,19.8,4.6,--,99.8,99.9,0,4.6,4.6,--
Jahmyr Gibbs,Det,RB,FA,,@GB,L 13-27,18.4,15,--,99.7,99.9,0,15,15,--
CeeDee Lamb,Dal,WR,FA,,@Phi,L 20-24,19,18,--,99.7,99.9,0,18,18,--
Justin Jefferson,Min,WR,FA,,@Chi,Mon 7:15 PM,20.2,14.8,--,99.3,99.9,0,14.8,14.8,--
Amon-Ra St. Brown,Det,WR,FA,,@GB,L 13-27,17.2,8.5,--,99.2,99.9,0,8.5,8.5,--
Puka Nacua,LAR,WR,FA,,Hou,W 14-9,16.8,23.1,--,99.1,99.9,0,23.1,23.1,--
Derrick Henry,Bal,RB,FA,,@Buf,L 40-41,16.1,29.2,--,99.1,99.9,0,29.2,29.2,--
Trey McBride,Ari,TE,FA,,@NO,W 20-13,15,12.1,--,99,99.9,0,12.1,12.1,--
Brock Bowers,LV,TE,FA,,@NE,W 20-13,15.3,15.3,--,98.8,99.9,0,15.3,15.3,--
Ashton Jeanty,LV,RB,FA,,@NE,W 20-13,17.5,12,--,98.6,99.9,0.1,12,12,--
Malik Nabers,NYG,WR,FA,,@Wsh,L 6-21,19,12.1,--,98.6,99.9,0,12.1,12.1,--
Jonathan Taylor,Ind,RB,FA,,Mia,W 33-8,18,12.8,--,98.2,99.8,0,12.8,12.8,--
Nico Collins,Hou,WR,FA,,@LAR,L 9-14,17.4,5.5,--,98.1,99.9,0,5.5,5.5,--
Lamar Jackson,Bal,QB,FA,,@Buf,L 40-41,22,29.36,--,97.5,99.9,0,29.36,29.4,--
Josh Allen,Buf,QB,FA,,Bal,W 41-40,20.8,38.76,--,97.3,99.9,0,38.76,38.8,--
Josh Jacobs,GB,RB,FA,,Det,W 27-13,15.7,14,--,97.3,99.9,0,14,14,--
De'Von Achane,Mia,RB,FA,,@Ind,L 8-33,17.7,16.5,--,97,99.8,0,16.5,16.5,--
Jalen Hurts,Phi,QB,FA,,Dal,W 24-20,23.4,24.28,--,97,99.9,0,24.28,24.3,--
Steelers D/ST,Pit,D/ST,FA,,@NYJ,W 34-32,8.3,1,--,96.9,99.3,0.2,1,1,--
A.J. Brown,Phi,WR,FA,,Dal,W 24-20,16.6,1.8,--,96.7,99.9,0,1.8,1.8,--
Bucky Irving,TB,RB,FA,,@Atl,W 23-20,17.3,14.5,--,96.7,99.7,0,14.5,14.5,--
Brian Thomas Jr.,Jax,WR,FA,,Car,W 26-10,16.3,9,--,96.6,99.8,0,9,9,--
Broncos D/ST,Den,D/ST,FA,,Ten,W 20-12,7.8,16,--,96.5,99.3,0.2,16,16,--
Chase Brown,Cin,RB,FA,,@Cle,W 17-16,17.6,13.1,--,96,99.5,0.2,13.1,13.1,--
Jake Bates,Det,K,FA,,@GB,L 13-27,8.5,7,--,95.9,99.1,0,7,7,--
Jayden Daniels,Wsh,QB,FA,,NYG,W 21-6,21,20.12,--,95.7,99.9,0,20.12,20.1,--
Christian McCaffrey,SF,RB,FA,,@Sea,W 17-13,17.7,23.2,--,95.7,99.9,0,23.2,23.2,--
Brandon Aubrey,Dal,K,FA,,@Phi,L 20-24,8.2,11,--,94.7,98.1,0,11,11,--
Chase McLaughlin,TB,K,FA,,@Atl,W 23-20,8.7,5,--,94.5,98.2,0.3,5,5,--
Kyren Williams,LAR,RB,FA,,Hou,W 14-9,15.7,13.9,--,94,99.4,0,13.9,13.9,--
Sam LaPorta,Det,TE,FA,,@GB,L 13-27,11.3,13.9,--,93.9,99.4,0,13.9,13.9,--
Tee Higgins,Cin,WR,FA,,@Cle,W 17-16,15.5,6.3,--,93,99.7,0,6.3,6.3,--
Cameron Dicker,LAC,K,FA,,KC,W 27-21,8.4,9,--,92.9,97.7,0.2,9,9,--
Joe Burrow,Cin,QB,FA,,@Cle,W 17-16,20,8.82,--,92.7,99.8,0,8.82,8.8,--
Drake London,Atl,WR,FA,,TB,L 20-23,16,13.5,--,92.5,99.7,0,13.5,13.5,--
James Cook,Buf,RB,FA,,Bal,W 41-40,14.6,21.2,--,91.7,99.5,0,21.2,21.2,--
Ladd McConkey,LAC,WR,FA,,KC,W 27-21,15.1,13.4,--,91.7,99.4,0,13.4,13.4,--
Alvin Kamara,NO,RB,FA,,Ari,L 13-20,15.7,13.7,--,90.9,98.9,0.1,13.7,13.7,--
Travis Kelce,KC,TE,FA,,@LAC,L 21-27,11.8,12.7,--,89.8,97.9,0.6,12.7,12.7,--
Mike Evans,TB,WR,FA,,@Atl,W 23-20,16.1,10.1,--,88.2,98.5,0,10.1,10.1,--
T.J. Hockenson,Min,TE,FA,,@Chi,Mon 7:15 PM,11.3,4.5,--,88.1,97.8,0.4,4.5,4.5,--
Vikings D/ST,Min,D/ST,FA,,@Chi,Mon 7:15 PM,6.9,4,--,87.8,94.7,-0.2,4,4,--
Tyreek Hill,Mia,WR,FA,,@Ind,L 8-33,15,8,--,87.7,99.4,0,8,8,--
Jaxon Smith-Njigba,Sea,WR,FA,,SF,L 13-17,14.7,19.4,--,87.5,99,0,19.4,19.4,--
Chuba Hubbard,Car,RB,FA,,@Jax,L 10-26,15.4,17.9,--,87.4,98.2,0.2,17.9,17.9,--
Davante Adams,LAR,WR,FA,,Hou,W 14-9,14.5,9.1,--,87.4,99.2,0,9.1,9.1,--
Patrick Mahomes,KC,QB,FA,,@LAC,L 21-27,19.8,26.02,--,86.8,98.5,0.4,26.02,26,--
James Conner,Ari,RB,FA,,@NO,W 20-13,15.3,14.4,--,85.5,97.6,0.2,14.4,14.4,--
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Jake Elliott,Phi,K,FA,,Dal,W 24-20,8.6,8,--,85.1,90.3,1.6,8,8,--
Omarion Hampton,LAC,RB,FA,,KC,W 27-21,14.7,8.1,--,84.9,98.2,0.2,8.1,8.1,--
Texans D/ST,Hou,D/ST,FA,,@LAR,L 9-14,5.9,8,--,84.2,94.9,-2.2,8,8,--
Baker Mayfield,TB,QB,FA,,@Atl,W 23-20,19,22.58,--,82.3,97.6,0.5,22.58,22.6,--
Terry McLaurin,Wsh,WR,FA,,NYG,W 21-6,13.8,4.7,--,81.6,99.1,0.1,4.7,4.7,--
Marvin Harrison Jr.,Ari,WR,FA,,@NO,W 20-13,13.9,18.1,--,80.7,98,0.1,18.1,18.1,--
George Kittle,SF,TE,FA,,@Sea,W 17-13,13.6,12.5,--,78.7,99.9,0,12.5,12.5,--
Chris Boswell,Pit,K,FA,,@NYJ,W 34-32,8,15,--,78.2,83.6,2,15,15,--
David Njoku,Cle,TE,FA,,Cin,L 16-17,11.3,6.7,--,78.2,95.3,0.5,6.7,6.7,--
DK Metcalf,Pit,WR,FA,,@NYJ,W 34-32,13.5,12.3,--,77.6,98.5,0.1,12.3,12.3,--
Kenneth Walker III,Sea,RB,FA,,SF,L 13-17,15,5.4,--,76.9,97.8,-0.2,5.4,5.4,--
Harrison Butker,KC,K,FA,,@LAC,L 21-27,8.3,11,--,75.3,81.3,3.2,11,11,--
Garrett Wilson,NYJ,WR,FA,,Pit,L 32-34,13.2,22.5,--,74.8,98.2,0,22.5,22.5,--
Mark Andrews,Bal,TE,FA,,@Buf,L 40-41,11.9,1.5,--,74.5,95.3,0.8,1.5,1.5,--
Eagles D/ST,Phi,D/ST,FA,,Dal,W 24-20,6.2,2,--,74.1,84.4,-0.7,2,2,--
Zay Flowers,Bal,WR,FA,,@Buf,L 40-41,14.6,28.1,--,72.7,96.9,0.3,28.1,28.1,--
Ravens D/ST,Bal,D/ST,FA,,@Buf,L 40-41,3.9,-7,--,71.5,91,-1.7,-7,-7,--
Lions D/ST,Det,D/ST,FA,,@GB,L 13-27,5.9,2,--,70.2,81.9,-1.2,2,2,--
TreVeyon Henderson,NE,RB,FA,,LV,L 13-20,14.3,11.1,--,70.1,96.7,0.8,11.1,11.1,--
Bo Nix,Den,QB,FA,,Ten,W 20-12,18.5,6.84,--,69.3,94.9,0.5,6.84,6.8,--
Breece Hall,NYJ,RB,FA,,Pit,L 32-34,12.6,16.5,--,68.2,96.5,-0.1,16.5,16.5,--
Xavier Worthy,KC,WR,FA,,@LAC,L 21-27,17,0,--,66.4,98.2,0,0,0,--
Seahawks D/ST,Sea,D/ST,FA,,SF,L 13-17,4.8,7,--,66.3,76.7,-3.8,7,7,--
Patriots D/ST,NE,D/ST,FA,,LV,L 13-20,6.5,5,--,64.4,70.4,-4.1,5,5,--
Kyler Murray,Ari,QB,FA,,@NO,W 20-13,18.3,18.32,--,62,92.1,0.7,18.32,18.3,--
DJ Moore,Chi,WR,FA,,Min,Mon 7:15 PM,13.5,8.6,--,61.9,96.1,-0.1,8.6,8.6,--
Courtland Sutton,Den,WR,FA,,Ten,W 20-12,13.4,18.1,--,61.5,95.3,0.3,18.1,18.1,--
D'Andre Swift,Chi,RB,FA,,Min,Mon 7:15 PM,12.6,9.5,--,61.2,95.7,0.2,9.5,9.5,--
Evan Engram,Den,TE,FA,,Ten,W 20-12,9.9,5.1,--,59.7,91.8,0.2,5.1,5.1,--
Cardinals D/ST,Ari,D/ST,FA,,@NO,W 20-13,7,4,--,56.3,60.8,17.6,4,4,--
Tyler Warren,Ind,TE,FA,,Mia,W 33-8,9.9,14.9,--,56.2,89,1.4,14.9,14.9,--
Jerry Jeudy,Cle,WR,FA,,Cin,L 16-17,14.9,11.6,--,54.5,94.2,0.6,11.6,11.6,--
David Montgomery,Det,RB,FA,,@GB,L 13-27,12.3,8.3,--,54.3,95.3,0.3,8.3,8.3,--
Tyler Loop,Bal,K,FA,,@Buf,L 40-41,8.2,13,--,52,56.8,8.3,13,13,--
Cam Little,Jax,K,FA,,Car,W 26-10,8.3,15,--,50.6,54.5,12.5,15,15,--
DeVonta Smith,Phi,WR,FA,,Dal,W 24-20,13.4,4.6,--,49.2,94.8,0.7,4.6,4.6,--
Tetairoa McMillan,Car,WR,FA,,@Jax,L 10-26,13.9,11.8,--,48.9,94.3,1.5,11.8,11.8,--
Tony Pollard,Ten,RB,FA,,@Den,L 12-20,12.9,7.9,--,45.8,93,0.8,7.9,7.9,--
Aaron Jones Sr.,Min,RB,FA,,@Chi,Mon 7:15 PM,12.5,15.7,--,44.2,93.2,0.4,15.7,15.7,--
Cairo Santos,Chi,K,FA,,Min,Mon 7:15 PM,8.1,6,--,42.5,47.4,3.4,6,6,--
Isiah Pacheco,KC,RB,FA,,@LAC,L 21-27,12.8,4.8,--,42.3,94.1,0.6,4.8,4.8,--
Emeka Egbuka,TB,WR,FA,,@Atl,W 23-20,13.5,23.6,--,42.2,90.1,1.6,23.6,23.6,--
Brock Purdy,SF,QB,FA,,@Sea,W 17-13,16.9,16.78,--,41.4,90.8,0.2,16.78,16.8,--
George Pickens,Dal,WR,FA,,@Phi,L 20-24,13.2,6,--,40.6,94.2,0.4,6,6,--
Jameson Williams,Det,WR,FA,,@GB,L 13-27,12.9,6.6,--,39,93.6,0.4,6.6,6.6,--
Tucker Kraft,GB,TE,FA,,Det,W 27-13,9.4,9.9,--,38.8,84.3,0.1,9.9,9.9,--
Jaylen Waddle,Mia,WR,FA,,@Ind,L 8-33,12.9,7,--,38.3,93.9,0.5,7,7,--
Justin Herbert,LAC,QB,FA,,KC,W 27-21,16.6,27.92,--,37.2,87.6,0.2,27.92,27.9,--
Matt Gay,Wsh,K,FA,,NYG,W 21-6,8.2,3,--,36.9,42.4,5.1,3,3,--
Bills D/ST,Buf,D/ST,FA,,Bal,W 41-40,3.1,-2,--,35.9,52.4,-6.6,-2,-2,--
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Ka'imi Fairbairn,Hou,K,FA,,@LAR,L 9-14,7.9,14,--,35.4,39.9,1.7,14,14,--
Travis Hunter,Jax,WR,FA,,Car,W 26-10,12.9,9.3,--,34.7,94.8,0.4,9.3,9.3,--
Calvin Ridley,Ten,WR,FA,,@Den,L 12-20,11.4,6.7,--,34.1,93.7,0.3,6.7,6.7,--
Dak Prescott,Dal,QB,FA,,@Phi,L 20-24,16.5,7.82,--,30,83,0.4,7.82,7.8,--
Jaylen Warren,Pit,RB,FA,,@NYJ,W 34-32,14.2,13.9,--,29.4,89,1.3,13.9,13.9,--
Colston Loveland,Chi,TE,FA,,Min,Mon 7:15 PM,8.8,3.2,--,27.6,81,-0.4,3.2,3.2,--
RJ Harvey,Den,RB,FA,,Ten,W 20-12,12.8,7.9,--,27.5,91.5,0.4,7.9,7.9,--
Tyler Bass,Buf,K,FA,,Bal,W 41-40,0,0,--,27.2,55.7,-29.6,--,--,--
