player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Saquon Barkley,Phi,RB,FA,,LAR,W 33-26,--,9.5,1st,99.8,99.9,0,45.3,15.1,--
Bijan Robinson,Atl,RB,FA,,@Car,L 0-30,--,16.1,17th,99.8,99.9,0,60.3,20.1,--
CeeDee Lamb,Dal,WR,FA,,@Chi,L 14-31,--,0,27th,99.7,99.9,0,38.2,12.7,--
Ja'Marr Chase,Cin,WR,FA,,@Min,L 10-48,--,8.9,3rd,99.6,99.9,0,50,16.7,--
Puka Nacua,LAR,WR,FA,,@Phi,L 26-33,--,22.8,9th,99.5,99.9,0,73.5,24.5,--
Amon-Ra St. Brown,Det,WR,FA,,@Bal,W 38-30,--,20.7,19th,99.5,99.9,0,68.4,22.8,--
Christian McCaffrey,SF,RB,FA,,Ari,W 16-15,--,24,15th,99.4,99.9,0,69.9,23.3,--
Justin Jefferson,Min,WR,FA,,Cin,W 48-10,--,12.5,21st,99.4,99.9,0,38.4,12.8,--
Jahmyr Gibbs,Det,RB,FA,,@Bal,W 38-30,--,26.9,28th,99.4,99.9,0,61.3,20.4,--
Malik Nabers,NYG,WR,FA,,KC,L 9-22,--,3.3,25th,99.1,99.9,0,53.1,17.7,--
Trey McBride,Ari,TE,FA,,@SF,L 15-16,--,15.3,12th,98.8,99.9,0,41.2,13.7,--
Josh Allen,Buf,QB,FA,,Mia,W 31-21,--,23.02,31st,98.7,99.9,0,73.6,24.5,--
Derrick Henry,Bal,RB,FA,,Det,L 30-38,--,10.7,12th,98.7,99.9,0,42.2,14.1,--
Jonathan Taylor,Ind,RB,FA,,@Ten,W 41-20,--,32.8,22nd,98.5,99.9,0,75.1,25,--
Lamar Jackson,Bal,QB,FA,,Det,L 30-38,--,27.02,19th,98.3,99.9,0,82.68,27.6,--
De'Von Achane,Mia,RB,FA,,@Buf,L 21-31,--,16.1,14th,98.1,99.8,0,58.8,19.6,--
Brandon Aubrey,Dal,K,FA,,@Chi,L 14-31,--,8,17th,96.8,98.3,0.5,42,14,--
Nico Collins,Hou,WR,FA,,@Jax,L 10-17,--,22.4,26th,96.8,99.9,0,42.1,14,--
Bucky Irving,TB,RB,FA,,NYJ,W 29-27,--,13.9,24th,96.7,99.7,0,46.5,15.5,--
Brock Bowers,LV,TE,FA,,@Wsh,L 24-41,--,9.8,27th,96.1,99.9,0,33.9,11.3,--
