player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Saquon Barkley,Phi,RB,FA,,@KC,W 20-17,--,17.4,5th,99.8,99.9,0,35.8,17.9,--
Ja'Marr Chase,Cin,WR,FA,,Jax,W 31-27,--,36.5,5th,99.7,100,0,41.1,20.6,--
CeeDee Lamb,Dal,WR,FA,,NYG,W 40-37,--,20.2,24th,99.7,99.9,0,38.2,19.1,--
Bijan Robinson,Atl,RB,FA,,@Min,W 22-6,--,19.8,6th,99.7,99.9,0,44.2,22.1,--
Jahmyr Gibbs,Det,RB,FA,,Chi,W 52-21,--,19.4,23rd,99.6,99.9,0,34.4,17.2,--
Justin Jefferson,Min,WR,FA,,Atl,L 6-22,--,11.1,28th,99.6,99.9,0,25.9,13,--
Puka Nacua,LAR,WR,FA,,@Ten,W 33-19,--,27.6,18th,99.5,99.9,0,50.7,25.4,--
Derrick Henry,Bal,RB,FA,,Cle,W 41-17,--,2.3,8th,99.4,99.9,0,31.5,15.8,--
Christian McCaffrey,SF,RB,FA,,@NO,W 26-21,--,22.7,20th,99.1,99.9,0,45.9,23,--
Trey McBride,Ari,TE,FA,,Car,W 27-22,--,13.8,26th,99.1,99.9,0,25.9,13,--
Amon-Ra St. Brown,Det,WR,FA,,Chi,W 52-21,--,39.2,6th,98.8,99.9,0,47.7,23.9,--
Josh Allen,Buf,QB,FA,,@NYJ,W 30-10,--,11.82,26th,98.5,99.9,0,50.58,25.3,--
Lamar Jackson,Bal,QB,FA,,Cle,W 41-17,--,26.3,8th,98.2,99.9,0,55.66,27.8,--
Josh Jacobs,GB,RB,FA,,Wsh,W 27-18,--,14.4,2nd,97.9,99.9,0,28.4,14.2,--
Malik Nabers,NYG,WR,FA,,@Dal,L 37-40,--,37.7,3rd,97.7,99.9,0,49.8,24.9,--
De'Von Achane,Mia,RB,FA,,NE,L 27-33,--,26.2,7th,97.6,99.8,0,42.7,21.4,--
Ashton Jeanty,LV,RB,FA,,LAC,Mon 9:00 PM,--,7.4,3rd,97.6,99.9,0,12,12,--
Nico Collins,Hou,WR,FA,,TB,Mon 6:00 PM,--,14.2,14th,96.4,99.9,0,5.5,5.5,--
Chase Brown,Cin,RB,FA,,Jax,W 31-27,--,8.5,18th,95.9,99.5,-0.1,21.6,10.8,--
Jonathan Taylor,Ind,RB,FA,,Den,W 29-28,--,29.5,1st,95.5,99.8,0,42.3,21.2,--
